47,図書(和書),岩合光昭の世界ネコ歩き番組ガイドブック　続　　　,,岩合 光昭／著,クレヴィス,201608,699.67,○
48,図書(和書),岩合光昭の世界ネコ歩き番組ガイドブック　続々　　　,,岩合 光昭／著,クレヴィス,201805,699.67,○
49,図書(和書),インターネット・サバイバル　　　　,,福田 秀和／著,日本評論社,200105,699.64,○
50,図書(和書),内側から見たテレビ　　　　朝日新書 486,朝日新書 486,水島 宏明／著,朝日新聞出版,201411,699,○
51,図書(和書),美しき旗手たちの語録　　　　,,吉田 直哉／編著,日本放送出版協会,198612,699.04,○
52,図書(和書),ウドウロク　　　　新潮文庫 う-25-1,新潮文庫 う-25-1,有働 由美子／著,新潮社,201805,699.39,○
53,図書(和書),ウドウロク　　　　,,有働 由美子／著,新潮社,201410,699.39,○
54,図書(和書),Ultimate DJ handbook　　　　,,いとうせいこう&Ultimate Crew／監修・編,日之出出版,198812,699.66,○
55,図書(和書),ウルトラクイズ伝説　　　　,,福留 功男／編著,日本テレビ放送網,200002,699.67,○
56,図書(和書),うんちくブック　　　　,,テレビ朝日「虎の門」うんちく王選定委員会／編,双葉社,200309,699.67,○
57,図書(和書),衛星放送とハイビジョン　　　　Trend books 112,Trend books 112,白川 通信／著,教育社,199005,699,○
58,図書(和書),映像技術者になるには　　　　なるにはBOOKS 71,なるにはBOOKS 71,木村 由香里／著,ぺりかん社,201005,699.3,○
59,図書(和書),映像産業の未来を考える　　　　,,青木 貞伸／著,電波新聞社,199104,699,○
60,図書(和書),映像とは何だろうか　　　　岩波新書 新赤版 842,岩波新書 新赤版 842,吉田 直哉／著,岩波書店,200306,699.6,○
61,図書(和書),映像に見る地方の時代　　　　,,村木 良彦／著,博文館新社,201207,699.64,○
62,図書(和書),映像の帝国　　　　,,エリック・バーナウ／著,サイマル出版会,197300,699.253,○
63,図書(和書),映像メディアのプロになる!　　　　,,奥村 健太／著,河出書房新社,201003,699,○
64,図書(和書),エキストラが見た芸能界の裏オモテ　　　　,,多田 文明／著,彩図社,200403,699.67,○
65,図書(和書),NHK　　　　岩波新書 新赤版 1521,岩波新書 新赤版 1521,松田 浩／著,岩波書店,201412,699.21,○
66,図書(和書),NHK　　　　ND books,ND books,佐藤 吉雄／著,朝日新聞社,199205,699.21,○
67,図書(和書),NHK　　　　入門新書 時事問題解説 162,入門新書 時事問題解説 162,原 幸治郎／著,教育社,197812,699.21,○
68,図書(和書),NHK　　　　岩波新書 新赤版 947,岩波新書 新赤版 947,松田 浩／著,岩波書店,200505,699.21,○
69,図書(和書),NHK アナウンス・セミナー　　　　,,日本放送協会／編,日本放送出版協会,198506,699.39,○
70,図書(和書),NHKアナウンス・セミナー　　　　,,NHKアナウンス・セミナー編集委員会／編,日本放送出版協会,200507,699.39,○
71,図書(和書),NHK王国ニュースキャスターの戦場　　　　,,大下 英治／著,講談社,199212,699.64,○
72,図書(和書),NHK王国ヒットメーカーの挑戦　　　　,,大下 英治／著,講談社,199405,699.6,○
73,図書(和書),NHK解体新書　　　　WAC BUNKO B-311,WAC BUNKO B-311,有馬 哲夫／著,ワック,201910,699.21,×
74,図書(和書),NHKが危ない!　　　　,,池田 恵理子／著,あけび書房,201404,699.21,○
75,図書(和書),NHKが日本をダメにした　　　　詩想社新書 3,詩想社新書 3,武田 邦彦／著,詩想社,201412,699.21,○
76,図書(和書),NHK視聴者サービス報告書　2010　　　,,,日本放送協会視聴者サービス報告書2010編集委員会,201005,699.3,○
77,図書(和書),NHK社会部記者　　　　,,神戸 四郎／著,朝日新聞社,198603,699.64,○
78,図書(和書),NHK取材班アマゾンを撮る男たち　　　　TJ MOOK,TJ MOOK,,宝島社,201605,699.63,×
79,図書(和書),NHK受信料を考える　　　　,,稲葉 三千男／著,青木書店,198511,699.1,○
80,図書(和書),NHK受信料は拒否できるのか　　　　,,土屋 英雄／著,明石書店,200801,699.1,○
81,図書(和書),NHK テレビ美術読本　　　　,,日本放送協会／編,日本放送出版協会,198106,699,○
82,図書(和書),NHKデータブック世界の放送　1998　　　,,NHK放送文化研究所／編,日本放送出版協会,199806,699.2,○
83,図書(和書),NHKデータブック世界の放送　1999　　　,,NHK放送文化研究所／編,日本放送出版協会,199903,699.2,○
84,図書(和書),NHKデータブック世界の放送　2002　　　,,NHK放送文化研究所／編,日本放送出版協会,200206,699.2,○
85,図書(和書),NHKデータブック世界の放送　2003　　　,,NHK放送文化研究所／編,日本放送出版協会,200303,699.2,○
86,図書(和書),NHKデータブック世界の放送　2004　　　,,NHK放送文化研究所／編,日本放送出版協会,200403,699.2,○
87,図書(和書),NHKデータブック世界の放送　2005　　　,,NHK放送文化研究所／編,日本放送出版協会,200502,699.2,○
88,図書(和書),NHKデータブック世界の放送　2006　　　,,NHK放送文化研究所／編,日本放送出版協会,200603,699.2,○
89,図書(和書),NHKデータブック世界の放送　2007　　　,,NHK放送文化研究所／編,日本放送出版協会,200703,699.2,○
90,図書(和書),NHKデータブック世界の放送　2008　　　,,NHK放送文化研究所／編,日本放送出版協会,200803,699.2,○
91,図書(和書),NHKデータブック世界の放送　2009　　　,,NHK放送文化研究所／編,日本放送出版協会,200902,699.2,○
92,図書(和書),NHKデータブック世界の放送　2010　　　,,NHK放送文化研究所／編,日本放送出版協会,201002,699.2,○
93,図書(和書),NHKデータブック世界の放送　2011　　　,,NHK放送文化研究所／編,NHK出版,201102,699.2,○
94,図書(和書),NHKデータブック世界の放送　2012　　　,,NHK放送文化研究所／編,NHK出版,201202,699.2,○
95,図書(和書),NHKデータブック世界の放送　2013　　　,,NHK放送文化研究所／編,NHK出版,201302,699.2,○
96,図書(和書),NHKデータブック世界の放送　2014　　　,,NHK放送文化研究所／編,NHK出版,201401,699.2,○
97,図書(和書),NHKデータブック世界の放送　2015　　　,,NHK放送文化研究所／編,NHK出版,201502,699.2,○
98,図書(和書),NHKデータブック世界の放送　2016　　　,,NHK放送文化研究所／編,NHK出版,201602,699.2,○
99,図書(和書),NHKデータブック世界の放送　2017　　　,,NHK放送文化研究所／編,NHK出版,201702,699.2,○
100,図書(和書),NHKデータブック世界の放送　2018　　　,,NHK放送文化研究所／編,NHK出版,201802,699.2,○
101,図書(和書),NHKデータブック世界の放送　1999　　　,,NHK放送文化研究所／編,日本放送出版協会,199903,699.2,○
102,図書(和書),NHKと政治　　　　,,川崎 泰資／著,朝日新聞社,199709,699.21,○
103,図書(和書),NHKと政治権力　　　　岩波現代文庫 社会 273,岩波現代文庫 社会 273,永田 浩三／著,岩波書店,201408,699.21,×
104,図書(和書),NHKと政治支配　　　　,,飯室 勝彦／著,現代書館,201408,699.21,○
105,図書(和書),「NHK特集」を読む　　　　,,小林 紀興／著,光文社,198811,699.64,○
106,図書(和書),NHK年鑑　1961　　　,,日本放送協会／編,日本放送出版協会,196012,699.21,×
107,図書(和書),NHK年鑑　1959　　　,,日本放送協会／編,日本放送出版協会,195812,699.21,×
108,図書(和書),NHK年鑑　'71　1970.4〜1971.3　　,,日本放送協会／編,日本放送出版協会,197100,699.21,○
109,図書(和書),NHK年鑑　1960　　　,,日本放送協会／編,日本放送出版協会,195912,699.21,×
110,図書(和書),NHK年鑑　1958　　　,,日本放送協会／編,日本放送出版協会,195711,699.21,×
111,図書(和書),NHK年鑑　'70　1969.4〜1970.3　　,,日本放送協会／編,日本放送出版協会,197000,699.21,○
112,図書(和書),NHK年鑑　1962　　　,,日本放送協会／編,日本放送出版協会,196112,699.21,×
113,図書(和書),NHK年鑑　1962No.2　　　,,日本放送協会／編,日本放送出版協会,196209,699.21,×
114,図書(和書),NHK年鑑　'72　1971.4〜1972.3　　,,日本放送協会／編,日本放送出版協会,197200,699.21,○
115,図書(和書),NHK年鑑　1956　　　,,日本放送協会／編,日本放送出版協会,195511,699.21,×
116,図書(和書),NHK年鑑　'65　　　,,日本放送協会／編,日本放送出版協会,196510,699.21,×
117,図書(和書),NHK年鑑　'73　1972.4〜1973.3　　,,日本放送協会／編集,日本放送出版協会,197300,699.21,○
118,図書(和書),NHK年鑑　'66　　　,,日本放送協会／編,日本放送出版協会,196600,699.21,×
119,図書(和書),NHK年鑑　76　　　,,日本放送協会／[著],日本放送出版協会,197600,699.21,○
120,図書(和書),NHK年鑑　'67　　　,,日本放送協会総合放送文化研究所放送史編修室／編集,日本放送出版協会,196709,699.21,×
121,図書(和書),NHK年鑑　'63　　　,,日本放送協会／編,日本放送出版協会,196310,699.21,×
122,図書(和書),NHK年鑑　'74　1973.4〜1974.3　　,,日本放送協会／編集,日本放送出版協会,197400,699.21,○
123,図書(和書),NHK年鑑　'75　1974.4〜1975.3　　,,日本放送協会／編集,日本放送出版協会,197500,699.21,○
124,図書(和書),NHK年鑑　'64　　　,,日本放送協会／編,日本放送出版協会,196410,699.21,×
125,図書(和書),NHK年鑑　'81　1980.4〜1981.3　　,,日本放送協会／編,日本放送出版協会,198100,699.21,○
126,図書(和書),NHK年鑑　'82　1981.4〜1982.3　　,,日本放送協会／編,日本放送出版協会,198209,699.21,○
127,図書(和書),NHK年鑑　'83　1982.4〜1983.3　　,,日本放送協会／編集,日本放送出版協会,198309,699.21,○
128,図書(和書),NHK年鑑　'84　　　,,日本放送協会／編,日本放送出版協会,198409,699.21,○
129,図書(和書),NHK年鑑　78　　　,,日本放送協会／編,日本放送出版協会,197800,699.21,○
130,図書(和書),NHK年鑑　2004　　　,,NHK放送文化研究所／編集,日本放送出版協会,200410,699.21,○
131,図書(和書),NHK年鑑　2005　　　,,NHK放送文化研究所／編集,日本放送出版協会,200510,699.21,○
132,図書(和書),NHK年鑑　'79　　　,,日本放送協会／編,日本放送出版協会,197909,699.21,○
133,図書(和書),NHK年鑑　'80　　　,,日本放送協会／編,日本放送出版協会,198009,699.21,○
134,図書(和書),NHK年鑑　2016　　　,,NHK放送文化研究所／編,NHK出版,201611,699.21,○
135,図書(和書),NHK年鑑　2017　　　,,NHK放送文化研究所／編,NHK出版,201711,699.21,○
136,図書(和書),NHK年鑑　2018　　　,,NHK放送文化研究所／編,NHK出版,201810,699.21,○
137,図書(和書),NEW NHK年鑑　2019　　　,,NHK放送文化研究所／編,NHK出版,201910,699.21,×
138,図書(和書),NHK年鑑　'85　　　,,日本放送協会／編,日本放送出版協会,198509,699.21,○
139,図書(和書),NHK年鑑　2012　　　,,NHK放送文化研究所／編,NHK出版,201210,699.21,○
140,図書(和書),NHK年鑑　2013　　　,,NHK放送文化研究所／編,NHK出版,201311,699.21,○
141,図書(和書),NHK年鑑　2014　　　,,NHK放送文化研究所／編,NHK出版,201411,699.21,○
142,図書(和書),NHK年鑑　2015　　　,,NHK放送文化研究所／編,NHK出版,201511,699.21,○
143,図書(和書),NHK年鑑　2006　　　,,NHK放送文化研究所／編集,日本放送出版協会,200611,699.21,○
144,図書(和書),NHK年鑑　2007　　　,,NHK放送文化研究所／編集,日本放送出版協会,200711,699.21,○
145,図書(和書),NHK年鑑　2008　　　,,NHK放送文化研究所／編,日本放送出版協会,200810,699.21,○
146,図書(和書),NHK年鑑　2009　　　,,NHK放送文化研究所／編,日本放送出版協会,200909,699.21,○
147,図書(和書),NHK年鑑　2010　　　,,NHK放送文化研究所／編,日本放送出版協会,201009,699.21,○
148,図書(和書),NHK年鑑　2011　　　,,NHK放送文化研究所／編,NHK出版,201111,699.21,○
149,図書(和書),NHK年鑑　21　NHK年鑑　1968　,,有山 輝雄／監修,ゆまに書房,200007,699.21,×
150,図書(和書),NHK年鑑　22　NHK年鑑　1969　,,有山 輝雄／監修,ゆまに書房,200007,699.21,×
151,図書(和書),NHK年鑑　23　NHK年鑑　1970　,,有山 輝雄／監修,ゆまに書房,200007,699.21,×
152,図書(和書),NHK年鑑　2000　　　,,NHK放送文化研究所／編集,日本放送出版協会,200010,699.21,×
153,図書(和書),NHK年鑑　2001　　　,,NHK放送文化研究所／編集,日本放送出版協会,200110,699.21,○
154,図書(和書),NHK年鑑　2003　　　,,NHK放送文化研究所／編集,日本放送出版協会,200310,699.21,○
155,図書(和書),NHK年鑑　'98　　　,,日本放送協会放送文化研究所(メディア情報)／編,日本放送出版協会,199810,699.21,○
156,図書(和書),NHK年鑑　1　ラジオ年鑑　昭和23年版　,,有山 輝雄／監修,ゆまに書房,199908,699.21,×
157,図書(和書),NHK年鑑　2　ラジオ年鑑　昭和24年版　,,有山 輝雄／監修,ゆまに書房,199908,699.21,×
158,図書(和書),NHK年鑑　'99　　　,,日本放送協会放送文化研究所(メディア情報)／編集,日本放送出版協会,199911,699.21,○
159,図書(和書),NHK年鑑　3　ラジオ年鑑　昭和25年版　,,有山 輝雄／監修,ゆまに書房,199908,699.21,×
160,図書(和書),NHK年鑑　4　ラジオ年鑑　1951　,,有山 輝雄／監修,ゆまに書房,199908,699.21,×
161,図書(和書),NHK年鑑　5　ラジオ年鑑　1953　,,有山 輝雄／監修,ゆまに書房,199908,699.21,×
162,図書(和書),NHK年鑑　1954　　　,,日本放送協会／編,ラジオサービスセンター,195312,699.21,×
163,図書(和書),NHK年鑑　1955　　　,,日本放送協会／編,ラジオサービスセンター,195412,699.21,×
164,図書(和書),NHK年鑑　'77　1976.4〜1977.3　　,,日本放送協会／編集,日本放送出版協会,197700,699.21,○
165,図書(和書),NHK年鑑　'87　　　,,日本放送協会放送文化調査研究所放送情報調査部／編,日本放送出版協会,198709,699.21,○
